"Len","P31","P50","P356","P1476","P1433","P577"
"A philosophical basis for hydrological uncertainty","Q13442814","Steven Weijs","10.1080/02626667.2016.1183009","A philosophical basis for hydrological uncertainty","Hydrological Sciences Journal","2016-04-27"
"Accounting for observational uncertainty in forecast verification: An information-theoretical view on forecasts, observations, and truth","Q13442814","Steven Weijs","10.1175/2011mwr3573.1","Accounting for observational uncertainty in forecast verification: An information-theoretical view on forecasts, observations, and truth","Monthly Weather Review","2011-03-11"
"Advancing catchment hydrology to deal with predictions under change","Q13442814","Steven Weijs","10.5194/hess-18-649-2014","Advancing catchment hydrology to deal with predictions under change","Hydrology and Earth System Sciences","2014-02-19"
"An information-theoretical perspective on weighted ensemble forecasts","Q13442814","Steven Weijs","10.1016/j.jhydrol.2013.06.033","An information-theoretical perspective on weighted ensemble forecasts","Journal of Hydrology","2013-06-27"
"Application of Entropy Ensemble Filter in Neural Network Forecasts of Tropical Pacific Sea Surface Temperatures","Q13442814","Steven Weijs","10.3390/e20030207","Application of Entropy Ensemble Filter in Neural Network Forecasts of Tropical Pacific Sea Surface Temperatures","Entropy","2018-03-20"
"Balancing Costs and Benefits in Selecting New Information: Efficient Monitoring Using Deterministic Hydro-economic Models","Q13442814","Steven Weijs","10.1007/s11269-017-1813-4","Balancing Costs and Benefits in Selecting New Information: Efficient Monitoring Using Deterministic Hydro-economic Models","Water Resources Management","2017-10-07"
"Controls on the diurnal streamflow cycles in two subbasins of an alpine headwater catchment","Q13442814","Steven Weijs","10.1002/2014wr016581","Controls on the diurnal streamflow cycles in two subbasins of an alpine headwater catchment","Water Resources Research","2015-04-17"
"Could electrical conductivity replace water level in rating curves for alpine streams?","Q13442814","Steven Weijs","10.1029/2012wr012181","Could electrical conductivity replace water level in rating curves for alpine streams?","Water Resources Research","2012-12-03"
"Data compression to define information content of hydrological time series.","Q13442814","Steven Weijs","10.5194/hess-17-3171-2013","Data compression to define information content of hydrological time series.","Hydrology and Earth System Sciences","2013-08-06"
"Debates: Does Information Theory Provide a New Paradigm for Earth Science? Sharper Predictions Using Occam's Digital Razor","Q13442814","Steven Weijs","10.1029/2019wr026471","Debates: Does Information Theory Provide a New Paradigm for Earth Science? Sharper Predictions Using Occam's Digital Razor","Water Resources Research","2020-03-02"
"Dependency and redundancy: How information theory untangles three variable interactions in environmental data","Q13442814","Steven Weijs","10.1029/2018wr022649","Dependency and redundancy: How information theory untangles three variable interactions in environmental data","Water Resources Research","2018-09-24"
"Entropy Ensemble Filter: A Modified Bootstrap Aggregating (Bagging) Procedure to Improve Efficiency in Ensemble Model Simulation","Q13442814","Steven Weijs","10.3390/e19100520","Entropy Ensemble Filter: A Modified Bootstrap Aggregating (Bagging) Procedure to Improve Efficiency in Ensemble Model Simulation","Entropy","2017-09-28"
"Estimating Stream Surface Flow Velocities from Video Clips","Q13442814","Steven Weijs","10.1109/icip.2015.7351509","Estimating Stream Surface Flow Velocities from Video Clips","2015 IEEE International Conference on Image Processing (ICIP)","2015-12-13"
"Evaluating reliability and resolution of ensemble forecasts using information theory","Q13442814","Steven Weijs","10.1175/1520-0493(2002)130<1653:epfuit>2.0.co;2","Evaluating reliability and resolution of ensemble forecasts using information theory","Monthly Weather Review","2002-07-27"
"Extracting High Resolution Snow Distribution Information with Inexpensive Autonomous Cameras","Q13442814","Steven Weijs","10.29007/93gh","Extracting High Resolution Snow Distribution Information with Inexpensive Autonomous Cameras","EasyChair","2018-09-20"
"Extracting local information from crowds through betting markets","Q13442814","Steven Weijs","10.2139/ssrn.1719046","Extracting local information from crowds through betting markets","SSRN Electronic Journal","2012-01-05"
"Geomorphic Signatures on Brutsaert Base Flow Recession Analysis: case study of 27 Swiss Catchments","Q13442814","Steven Weijs","10.1002/wrcr.20417","Geomorphic Signatures on Brutsaert Base Flow Recession Analysis: case study of 27 Swiss Catchments","Water Resources Research","2013-07-20"
"HydroZIP: using hydrological knowledge to compress hydrological data","Q13442814","Steven Weijs","10.3390/e15041289","HydroZIP: using hydrological knowledge to compress hydrological data","Entropy","2013-04-10"
"Interactive comment on “Why hydrological forecasts should be evaluated using information theory” by SV Weijs et al.","Q13442814","Steven Weijs","10.5194/hessd-7-4657-2010","Interactive comment on “Why hydrological forecasts should be evaluated using information theory” by SV Weijs et al.","Copernicus GmbH","2010-07-16"
"Kullback-Leibler divergence as a forecast skill score with classic reliability-resolution-uncertainty decomposition","Q13442814","Steven Weijs","10.1175/2010mwr3229.1","Kullback-Leibler divergence as a forecast skill score with classic reliability-resolution-uncertainty decomposition","Monthly Weather Review","2010-04-27"
"Linking water and energy objectives in lowland areas through the application of model predictive control","Q13442814","Steven Weijs","10.1109/cca.2010.5611147","Linking water and energy objectives in lowland areas through the application of model predictive control","2010 IEEE International Conference on Control Applications","2010-11-10"
"Multiple model predictive control on a drainage canal system","Q13442814","Steven Weijs","10.1016/j.conengprac.2007.06.002","Multiple model predictive control on a drainage canal system","Control Engineering Practice","2007-08-28"
"Objective Functions for Information-Content-Based Optimal Monitoring Network Design","Q13442814","Steven Weijs","10.5194/hess-2020-148","Objective Functions for Information-Content-Based Optimal Monitoring Network Design","Copernicus GmbH","2020-04-17"
"Preface—Special Issue: Facets of Uncertainty","Q13442814","Steven Weijs","10.1080/02626667.2016.1186919","Preface—Special Issue: Facets of Uncertainty","Hydrological Sciences Journal","2016-05-24"
"Reservoir Operation Optimized for Hydropower Production Reduces Conflict with Traditional Water Uses in the Senegal River","Q13442814","Steven Weijs","10.1061/(asce)wr.1943-5452.0001076","Reservoir Operation Optimized for Hydropower Production Reduces Conflict with Traditional Water Uses in the Senegal River","Journal of Water Resources Planning and Management","2020-02-08"
"Soil Moisture & Snow Properties Determination with GNSS in Alpine Environments: Challenges, Status, and Perspectives","Q13442814","Steven Weijs","10.3390/rs5073516","Soil Moisture & Snow Properties Determination with GNSS in Alpine Environments: Challenges, Status, and Perspectives","Remote Sensing","2013-07-19"
"Toward a New Approach for Hydrological Modeling: A Tool for Sustainable Development in a Savanna Agro-System","Q13442814","Steven Weijs","10.1007/978-3-319-00639-0_8","Toward a New Approach for Hydrological Modeling: A Tool for Sustainable Development in a Savanna Agro-System","Technologies for Sustainable Development","2013-07-31"
"Using the Wiimote as a sensor in water research","Q13442814","Steven Weijs","10.1029/2010wr009350","Using the Wiimote as a sensor in water research","Water Resources Research","2010-11-30"
"Why hydrological predictions should be evaluated using information theory","Q13442814","Steven Weijs","10.5194/hess-14-2545-2010","Why hydrological predictions should be evaluated using information theory","Hydrology and Earth System Sciences","2010-12-13"
